nbar,eta_alpha2_over_2nbar_plus_1,alpha,cutoff,finite_signal_delta,qfi_ecd_asymptotic,qfi_exact_spectral,qfi_finite_bures_response,spectral_relative_error_vs_asymptotic,bures_relative_error_vs_asymptotic,bures_minus_spectral_relative_gap,spectral_abs_relative_error,bures_abs_relative_error,witness_internal_abs_relative_gap,dual_witness_pass_10pct,state_model
0.5,0.125,0.5,36,0.001,6.0,4.924234314519514,4.907282435517857,-0.17929428091341437,-0.1821195940803572,-0.0034425410975413846,0.17929428091341437,0.1821195940803572,0.0034425410975413846,0,postselected_MrhoM
0.5,0.25,0.7071067811865476,36,0.001,10.000000000000002,9.046376623820862,9.013142662439577,-0.09536233761791396,-0.09868573375604245,-0.0036737317893413162,0.09536233761791396,0.09868573375604245,0.0036737317893413162,1,postselected_MrhoM
0.5,0.5,1.0,36,0.001,18.0,17.712220640544682,17.67239514105512,-0.015987742191962084,-0.018200269941382255,-0.0022484758008490084,0.015987742191962084,0.018200269941382255,0.0022484758008490084,1,postselected_MrhoM
0.5,1.0,1.4142135623730951,39,0.001,34.00000000000001,33.98926879538361,33.90328164076806,-0.0003156236651881857,-0.0028446576244691183,-0.002529832434266148,0.0003156236651881857,0.0028446576244691183,0.002529832434266148,1,postselected_MrhoM
0.5,2.0,2.0,44,0.001,66.0,65.99999279365306,65.86220188076197,-1.0918707478898189e-07,-0.0020878502914852656,-0.002087741332364846,1.0918707478898189e-07,0.0020878502914852656,0.002087741332364846,1,postselected_MrhoM
2.0,0.125,0.7905694150420949,45,0.001,10.800000000000002,10.780718452247037,10.770192703901671,-0.0017853284956449976,-0.002759934823919587,-0.0009763494327385647,0.0017853284956449976,0.002759934823919587,0.0009763494327385647,1,postselected_MrhoM
2.0,0.25,1.118033988749895,47,0.001,20.800000000000004,20.79988628439554,20.79897486595428,-5.467096368437186e-06,-4.928529065989933e-05,-4.3818433851062714e-05,5.467096368437186e-06,4.928529065989933e-05,4.3818433851062714e-05,1,postselected_MrhoM
2.0,0.5,1.5811388300841898,49,0.001,40.800000000000004,40.799797254214326,40.794749128991725,-4.969259452900977e-06,-0.00012869781883036846,-0.0001237291742198361,4.969259452900977e-06,0.00012869781883036846,0.0001237291742198361,1,postselected_MrhoM
2.0,1.0,2.23606797749979,55,0.001,80.80000000000001,80.79928240568216,80.7822876351949,-8.881117795150058e-06,-0.0002192124357067638,-0.000210333185905414,8.881117795150058e-06,0.0002192124357067638,0.000210333185905414,1,postselected_MrhoM
2.0,2.0,3.1622776601683795,64,0.001,160.80000000000004,160.79640758841617,160.744391992651,-2.2340868058873165e-05,-0.00034582094122535047,-0.00032348730015356874,2.2340868058873165e-05,0.00034582094122535047,0.00032348730015356874,1,postselected_MrhoM
5.0,0.125,1.1726039399558574,70,0.001,22.363636363636363,22.36111509202143,22.36152905688016,-0.00011273978765968446,-9.422916389534388e-05,1.851271088343458e-05,0.00011273978765968446,9.422916389534388e-05,1.851271088343458e-05,1,postselected_MrhoM
5.0,0.25,1.6583123951777,72,0.001,44.36363636363637,44.3550845767722,44.35564604321485,-0.00019276568751196903,-0.00018010968163262124,1.2658445993392538e-05,0.00019276568751196903,0.00018010968163262124,1.2658445993392538e-05,1,postselected_MrhoM
5.0,0.5,2.345207879911715,77,0.001,88.36363636363636,88.33585195731413,88.32373239542335,-0.0003144325818358923,-0.00045158811763695465,-0.0001371986755348352,0.0003144325818358923,0.00045158811763695465,0.0001371986755348352,1,postselected_MrhoM
5.0,1.0,3.3166247903554,85,0.001,176.36363636363637,176.24950200644113,176.2384390371352,-0.0006471535717255902,-0.0007098817482024856,-6.276879752840893e-05,0.0006471535717255902,0.0007098817482024856,6.276879752840893e-05,1,postselected_MrhoM
5.0,2.0,4.69041575982343,102,0.001,352.3636363636364,351.8330565842592,351.8662197468103,-0.0015057733676854073,-0.0014116570652958303,9.425823392791045e-05,0.0015057733676854073,0.0014116570652958303,9.425823392791045e-05,1,postselected_MrhoM
10.0,0.125,1.620185174601965,111,0.001,42.19047619047619,42.163742226795655,42.15741941937523,-0.0006336492520217005,-0.000783512633318448,-0.00014995840232621588,0.0006336492520217005,0.000783512633318448,0.00014995840232621588,1,postselected_MrhoM
10.0,0.25,2.29128784747792,115,0.001,84.19047619047619,84.10940791077677,84.11235556060603,-0.0009629150869275341,-0.000927903409091222,3.504542360342755e-05,0.0009629150869275341,0.000927903409091222,3.504542360342755e-05,1,postselected_MrhoM
10.0,0.5,3.24037034920393,122,0.001,168.1904761904762,167.89287595298816,167.90549878109573,-0.0017694238355744217,-0.0016943730455803946,7.518382204079585e-05,0.0017694238355744217,0.0016943730455803946,7.518382204079585e-05,1,postselected_MrhoM
10.0,1.0,4.58257569495584,136,0.001,336.1904761904762,335.0941251227881,335.1201170067597,-0.003261100909553809,-0.00318378794023323,7.756591961157471e-05,0.003261100909553809,0.00318378794023323,7.756591961157471e-05,1,postselected_MrhoM
10.0,2.0,6.48074069840786,150,0.001,672.1904761904761,665.896657971218,666.1229635298582,-0.009363146968292766,-0.009026478171789202,0.0003398508701480638,0.009363146968292766,0.009026478171789202,0.0003398508701480638,1,postselected_MrhoM
