x,probability_fraction,probability,probability_percent,log_x,log_probability
8,1/78125,1.28e-05,0.0012799999999999999,2.0794415416798357,-11.266065387038703
10,54/390625,0.00013824,0.013824000000000001,2.302585092994046,-8.886519252908528
12,95673/195312500,0.00048984576,0.048984576,2.4849066497880004,-7.621419991922015
14,5602617/4882812500,0.0011474159616,0.11474159616000001,2.6390573296152584,-6.770242854789898
16,1051852189/488281250000,0.002154193283072,0.21541932830719998,2.772588722239781,-6.140338972113927
18,2689900749/762939453125,0.00352570670972928,0.352570670972928,2.8903717578961645,-5.64767437778276
20,6420136284501/1220703125000000,0.005259375644263219,0.5259375644263219,2.995732273553991,-5.247742958087054
22,224057506906107/30517578125000000,0.007341916386299314,0.7341916386299314,3.091042453358316,-4.9141553823815896
24,29767872082521697/3051757812500000000,0.009754336324000709,0.9754336324000709,3.1780538303479458,-4.630043341665313
26,475885563244515747/38146972656250000000,0.012475054509117034,1.2475054509117034,3.258096538021482,-4.384024267885802
28,118116360407839167297/7629394531250000000000,0.015481747591376296,1.5481747591376296,3.332204510175204,-4.168093523692787
30,3576734275353715272717/190734863281250000000000,0.018752388597566488,1.8752388597566487,3.4011973816621555,-3.97643414280916
35,66632123580695132110868139/2384185791015625000000000000,0.02794753824630039,2.794753824630039,3.5553480614894135,-3.5774261603154827
40,4573356465402503739460264395721/119209289550781250000000000000000,0.038364094632527164,3.8364094632527164,3.6888794541139363,-3.260633292418214
45,74132671366641759516815196254479791/1490116119384765625000000000000000000,0.04974959360700656,4.974959360700656,3.8066624897703196,-3.000752984114285
50,144107592349500140419037399789479111713/2328306436538696289062500000000000000000,0.06189373962464029,6.189373962464028,3.912023005428146,-2.782336241326459
55,8687155921694224255066281191883560262341061/116415321826934814453125000000000000000000000,0.07462210115785886,7.462210115785886,4.007333185232471,-2.5953185534797028
60,1022013069654825073607736113458064757011275733937/11641532182693481445312500000000000000000000000000,0.08779025420504087,8.779025420504087,4.0943445622221,-2.4328047844446026
65,14738001769651811584270365913033758071689132499717613/145519152283668518066406250000000000000000000000000000,0.10127877697447145,10.127877697447145,4.174387269895637,-2.289878396345681
70,209163874249760802983102121813955870653097043088643718487/1818989403545856475830078125000000000000000000000000000000,0.11498905592414453,11.498905592414452,4.248495242049359,-2.1629183210244505
75,585895526266402147243144993521565233542593023404957185036893/4547473508864641189575195312500000000000000000000000000000000,0.1288397887583696,12.88397887583696,4.31748811353631,-2.0491855940860715
80,162303958942915213459490434747595369066158145501424974167488087421/1136868377216160297393798828125000000000000000000000000000000000000,0.14276407207345101,14.276407207345102,4.382026634673881,-1.9465618568565604
